"Human Gene ID","Human Gene Name","Gene MIM Number","Cilia Related Process Pubmed ID","Synonym"
1454,"CSNK1E","CSNK1E","22609948","CSNK1E;CSNK1E;ENSG00000213923; CKIe; HCKIE; CKIepsilon"
124637,"CYB5D1","No MIM ID","33875586",NA
1540,"CYLD","605018","25342559","CYLD;CYLD;ENSG00000083799; EAC; MFT; SBS; TEM; BRSS; CDMT; MFT1; CYLD1; CYLDI; USPL2; FTDALS8"
1639,"DCTN1","DCTN1","33924373 *","DCTN1;DCTN1;ENSG00000204843; P135; DP-150; DAP-150"
10540,"DCTN2","607376","32312818 *","DCTN2;DCTN2;ENSG00000175203; RBP50; DCTN50; HEL-S-77; DYNAMITIN"
9231,"DLG5","604090","32631816","DLG5;DLG5;ENSG00000151208; PDLG; LP-DLG; P-DLG5"
55172,"DNAAF2","612517","21953912","DNAAF2;DNAAF2;ENSG00000165506; KTU; PF13; CILD10; C14orf104"
352909,"DNAAF3","614566","22387996","DNAAF3;DNAAF3;ENSG00000167646; PCD; DAB1; PF22; CILD2; C19orf51"
201625,"DNAH12","603340","11175280","DNAH12;DNAH12;ENSG00000174844; DHC3; DLP3; HL19; DLP12; DNHD2; HDHC3; HL-19; DNAH7L; DNAHC3; DNAH12L; DNAHC12"
127602,"DNAH14","603341","29323929","DNAH14;DNAH14;ENSG00000185842; HL18; HL-18; C1orf67; Dnahc14"
8632,"DNAH17","610063","31178125","DNAH17;DNAH17;ENSG00000187775; DNEL2; DNAHL1; SPGF39"
146754,"DNAH2","603333","9256245","DNAH2;DNAH2;ENSG00000183914; DNHD3; DNAHC2; SPGF45"
55567,"DNAH3","603334","9256245","DNAH3;DNAH3;ENSG00000158486; HDHC8; HEL-36; DNAHC3B; HSADHC3; DNAHC3-B"
1768,"DNAH6","603336","8812413","DNAH6;DNAH6;ENSG00000115423; HL2; HL-2; DNHL1; Dnahc6"
56171,"DNAH7","610061","11877439",NA
1769,"DNAH8","603337","31178125","DNAH8;DNAH8;ENSG00000124721; hdhc9; ATPase; SPGF46"
27019,"DNAI1","604366","11231901","DNAI1;DNAI1;ENSG00000122735; PCD; DIC1; ICS1; CILD1"
83544,"DNAL1","610062","15845866","DNAL1;DNAL1;ENSG00000119661; LC1; CILD16; C14orf168"
10126,"DNAL4","610565","21953912","DNAL4;DNAL4;ENSG00000100246; MRMV3; PIG27"
